image_path,cluster_label
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142550_0529_patch_12.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142700_0557_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142725_0567_patch_6.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142750_0577_patch_13.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142757_0580_patch_4.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143040_0645_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143047_0648_patch_12.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143322_0710_patch_6.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143420_0733_patch_13.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143425_0735_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143427_0736_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143455_0747_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143503_0750_patch_3.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T144003_0870_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T145743_1215_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T145958_1269_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151519_1550_patch_7.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151541_1559_patch_1.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151734_1604_patch_9.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151739_1606_patch_14.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T152937_1791_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153015_1806_patch_7.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153045_1818_patch_7.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153132_1837_patch_1.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153235_1862_patch_3.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T154005_2042_patch_3.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T154445_2154_patch_8.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T143611_0478_patch_5.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T143631_0486_patch_12.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152325_1403_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152337_1408_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152337_1408_patch_12.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T153502_1682_patch_5.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T154813_1894_patch_12.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T154815_1895_patch_7.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T155138_1976_patch_7.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144648_0135_patch_6.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144736_0154_patch_10.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144741_0156_patch_5.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145153_0257_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145201_0260_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145206_0262_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145216_0266_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152451_0824_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152614_0857_patch_9.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152734_0889_patch_14.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152809_0903_patch_11.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152856_0922_patch_5.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153312_1024_patch_10.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153329_1031_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153337_1034_patch_2.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153527_1078_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153659_1115_patch_11.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154149_1231_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154212_1240_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154921_1320_patch_0.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154924_1321_patch_1.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154924_1321_patch_2.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154931_1324_patch_0.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154951_1332_patch_14.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155401_1432_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155444_1449_patch_1.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155514_1461_patch_12.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155526_1466_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155551_1476_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155621_1488_patch_7.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155801_1528_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160204_1625_patch_5.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160241_1640_patch_5.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160249_1643_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160449_1691_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160501_1696_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161222_1787_patch_12.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161409_1830_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161424_1836_patch_3.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161727_1909_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161729_1910_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161732_1911_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161744_1916_patch_12.jpg,3
