k,inertia
1,76800.015625
2,67390.75
3,61510.5234375
4,51467.76171875
5,47413.16796875
6,44869.5078125
7,41501.3046875
8,39085.390625
9,37338.8515625
10,35919.234375
11,34921.0703125
12,33007.48828125
13,32244.9609375
14,30643.6484375
15,30369.171875
