image_path,cluster_label
AIMS_Water_Monitoring\Clustering_attempt\time_1777437141.400051.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437156.100053.jpg,0
AIMS_Water_Monitoring\Clustering_attempt\time_1777437196.900055.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437212.700052.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437243.550051.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437268.450051.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437280.150119.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437283.450072.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437296.850053.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437323.850053.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437327.20005.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437349.750051.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437361.250049.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437363.200057.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437384.450053.jpg,1
AIMS_Water_Monitoring\Clustering_attempt\time_1777437392.750178.jpg,3
AIMS_Water_Monitoring\Clustering_attempt\time_1777437413.300023.jpg,4
AIMS_Water_Monitoring\Clustering_attempt\time_1777437443.950053.jpg,4
AIMS_Water_Monitoring\Clustering_attempt\time_1777437465.950052.jpg,4
